run,rho,method,NMI_scores
6,0,l,1
6,0,l2,1
6,0,fg,1
6,0,fg2,1
6,0,eb,1
6,0,eb2,1
6,0,im,1
6,0,im2,1
6,0,lp,1
6,0,lp2,1
6,0,le,1
6,0,le2,1
6,0,sl,NA
6,0,sl2,NA
5,0,wt,1
5,0,wt2,1
5,0,l,1
5,0,l2,1
5,0,fg,1
5,0,fg2,1
5,0,eb,1
5,0,eb2,1
5,0,im,1
5,0,im2,1
5,0,lp,1
5,0,lp2,1
5,0,le,1
5,0,le2,1
5,0,sl,NA
5,0,sl2,NA
4,0,wt,1
4,0,wt2,1
4,0,l,1
4,0,l2,1
4,0,fg,1
4,0,fg2,1
4,0,eb,1
4,0,eb2,1
4,0,im,1
4,0,im2,1
4,0,lp,1
4,0,lp2,1
4,0,le,1
4,0,le2,1
4,0,sl,NA
4,0,sl2,NA
3,0,wt,1
3,0,wt2,1
3,0,l,1
3,0,l2,1
3,0,fg,1
3,0,fg2,1
3,0,eb,1
3,0,eb2,1
3,0,im,1
3,0,im2,1
3,0,lp,1
3,0,lp2,1
3,0,le,1
3,0,le2,1
3,0,sl,NA
3,0,sl2,NA
2,0,wt,1
2,0,wt2,1
2,0,l,1
2,0,l2,1
2,0,fg,1
2,0,fg2,1
2,0,eb,1
2,0,eb2,1
2,0,im,1
2,0,im2,1
2,0,lp,1
2,0,lp2,1
2,0,le,1
2,0,le2,1
2,0,sl,NA
2,0,sl2,NA
1,0,wt,1
1,0,wt2,1
1,0,l,1
1,0,l2,1
1,0,fg,1
1,0,fg2,1
1,0,eb,1
1,0,eb2,1
1,0,im,1
1,0,im2,1
1,0,lp,1
1,0,lp2,1
1,0,le,1
1,0,le2,1
1,0,sl,NA
1,0,sl2,NA
